"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2014Q2","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","528.67"
"RTB Average Monthly Rent Report","2014Q2","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q2","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","All bedrooms","All property types","Graiguecullen, Carlow","Euro","549.05"
"RTB Average Monthly Rent Report","2014Q3","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","636.86"
"RTB Average Monthly Rent Report","2014Q3","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","551.38"
"RTB Average Monthly Rent Report","2014Q3","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Three bed","All property types","Graiguecullen, Carlow","Euro","611.33"
"RTB Average Monthly Rent Report","2014Q3","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","535.94"
"RTB Average Monthly Rent Report","2014Q3","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q3","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","All bedrooms","All property types","Graiguecullen, Carlow","Euro","544.07"
"RTB Average Monthly Rent Report","2014Q4","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","630.67"
"RTB Average Monthly Rent Report","2014Q4","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","550.86"
"RTB Average Monthly Rent Report","2014Q4","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Three bed","All property types","Graiguecullen, Carlow","Euro","615.86"
"RTB Average Monthly Rent Report","2014Q4","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","508.68"
"RTB Average Monthly Rent Report","2014Q4","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","533.5"
"RTB Average Monthly Rent Report","2014Q4","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2014Q4","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Graiguecullen, Carlow","Euro","545.74"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","632.82"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Three bed","All property types","Graiguecullen, Carlow","Euro","621.51"
"RTB Average Monthly Rent Report","2015Q1","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","629.45"
"RTB Average Monthly Rent Report","2015Q1","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","504.97"
"RTB Average Monthly Rent Report","2015Q1","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","538.83"
"RTB Average Monthly Rent Report","2015Q1","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","629.45"
"RTB Average Monthly Rent Report","2015Q1","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","537.08"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","651.49"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","538.57"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Three bed","All property types","Graiguecullen, Carlow","Euro","632.54"
"RTB Average Monthly Rent Report","2015Q2","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","638.01"
"RTB Average Monthly Rent Report","2015Q2","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","497.86"
"RTB Average Monthly Rent Report","2015Q2","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","527.7"
"RTB Average Monthly Rent Report","2015Q2","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","638.01"
"RTB Average Monthly Rent Report","2015Q2","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q2","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","All bedrooms","All property types","Graiguecullen, Carlow","Euro","568.67"
"RTB Average Monthly Rent Report","2015Q3","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","642.28"
"RTB Average Monthly Rent Report","2015Q3","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","591.25"
"RTB Average Monthly Rent Report","2015Q3","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Three bed","All property types","Graiguecullen, Carlow","Euro","640.56"
"RTB Average Monthly Rent Report","2015Q3","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","639.43"
"RTB Average Monthly Rent Report","2015Q3","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","518.26"
"RTB Average Monthly Rent Report","2015Q3","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","565.18"
"RTB Average Monthly Rent Report","2015Q3","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","639.43"
"RTB Average Monthly Rent Report","2015Q3","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro","582.29"
"RTB Average Monthly Rent Report","2015Q3","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q3","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","All bedrooms","All property types","Graiguecullen, Carlow","Euro","580.24"
"RTB Average Monthly Rent Report","2015Q4","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","626.9"
"RTB Average Monthly Rent Report","2015Q4","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","604.65"
"RTB Average Monthly Rent Report","2015Q4","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Three bed","All property types","Graiguecullen, Carlow","Euro","647.78"
"RTB Average Monthly Rent Report","2015Q4","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","627.11"
"RTB Average Monthly Rent Report","2015Q4","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","534.18"
"RTB Average Monthly Rent Report","2015Q4","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","573.81"
"RTB Average Monthly Rent Report","2015Q4","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
